City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,18.23,94,93,3.13,NZ,1705661516
1,lerwick,60.1545,-1.1494,3.0,94,100,1.31,GB,1705661371
2,guanica,17.9716,-66.908,25.03,49,11,4.71,PR,1705661517
3,san fernando de monte cristi,19.8667,-71.65,22.04,84,0,4.87,DO,1705661517
4,sur,22.5667,59.5289,25.56,59,12,4.38,OM,1705661518
5,edinburgh of the seven seas,-37.0676,-12.3116,15.88,63,61,7.97,SH,1705661519
6,ambon,-3.6954,128.1814,29.08,12,40,2.06,ID,1705661519
7,kaga bandoro,6.9896,19.1874,37.18,8,0,2.55,CF,1705661520
8,jasper,37.2001,-94.3502,-10.86,68,100,7.2,US,1705661520
9,grytviken,-54.2811,-36.5092,5.69,94,78,1.44,GS,1705661521
10,sitka,57.0531,-135.33,1.94,32,40,2.57,US,1705661492
11,ushuaia,-54.8,-68.3,5.81,81,40,2.06,AR,1705661522
12,hamilton,39.1834,-84.5333,-3.31,90,100,2.68,US,1705661522
13,albany,42.6001,-73.9662,-6.82,88,100,0.92,US,1705661523
14,port-aux-francais,-49.35,70.2167,6.53,80,99,4.62,TF,1705661523
15,hammerfest,70.6634,23.6821,-12.75,85,20,0.51,NO,1705661524
16,suez,29.9737,32.5263,21.34,36,0,3.39,EG,1705661524
17,danilovka,50.3557,44.1168,0.91,98,100,9.3,RU,1705661525
18,thompson,55.7435,-97.8558,-28.91,76,40,0.0,CA,1705661525
19,mount gambier,-37.8333,140.7667,13.88,79,95,2.57,AU,1705661526
20,mount pearl,47.5166,-52.7813,-3.81,69,100,17.49,CA,1705661526
21,antofagasta,-23.65,-70.4,18.6,82,62,0.77,CL,1705661527
22,blackmans bay,-43.0167,147.3167,14.07,76,32,2.3,AU,1705661528
23,terrace,54.5163,-128.6035,-4.88,53,100,10.29,CA,1705661528
24,kailua-kona,19.6406,-155.9956,21.98,54,0,4.12,US,1705661529
25,dasha,23.11,113.4444,24.99,54,6,3.7,CN,1705661530
26,wakkanai,45.4094,141.6739,-11.06,81,80,1.34,JP,1705661531
27,adamstown,-25.066,-130.1015,23.99,77,100,7.24,PN,1705661531
28,labrador city,52.9463,-66.9114,-9.05,79,100,6.69,CA,1705661532
29,olonkinbyen,70.9221,-8.7187,-3.48,51,17,2.5,SJ,1705661532
30,wysokie mazowieckie,52.9166,22.5171,-3.86,89,96,5.44,PL,1705661533
31,longyearbyen,78.2186,15.6401,-18.09,60,0,7.72,SJ,1705661492
32,znamenka,52.4167,41.4311,0.46,99,100,6.75,RU,1705661534
33,papatowai,-46.5619,169.4708,16.28,99,100,0.99,NZ,1705661534
34,bethel,41.3712,-73.414,-3.22,77,20,0.0,US,1705661535
35,ribeira grande,38.5167,-28.7,17.22,94,75,9.77,PT,1705661536
36,iqaluit,63.7506,-68.5145,-16.15,72,0,12.86,CA,1705661536
37,port mathurin,-19.6833,63.4167,27.75,81,41,8.06,MU,1705661537
38,yellowknife,62.456,-114.3525,-16.71,85,100,2.57,CA,1705661537
39,holualoa,19.6228,-155.9522,19.91,54,0,4.12,US,1705661538
40,invercargill,-46.4,168.35,15.01,97,100,0.45,NZ,1705661538
41,vorgashor,67.5833,63.95,-18.65,93,95,3.56,RU,1705661539
42,bohicon,7.1783,2.0667,34.87,28,0,1.16,BJ,1705661539
43,susanville,40.4163,-120.653,1.91,90,20,2.06,US,1705661540
44,klaksvik,62.2266,-6.589,-1.49,56,98,3.25,FO,1705661540
